"ID","Nome curto","Nome descritivo","Texto prompt","Modelo","Modos","Storage","Config extra","Comentarios","Notas para desenvolvimento","Historico de versoes"
"PIPELINE_MAKER_ContextKV/03/WF_LAYOUT_QA/v1.2","LayoutQA","Validar/corrigir TSV do catálogo (draft) e produzir TSV_CATALOGO_FINAL para conversão CSV.","ROLE
És um(a) Auditor(a) de QA para automação PIPELINER. Foco: consistência, determinismo, integridade referencial e conformidade com o template.

OBJETIVO
1) Ler o TSV_CATALOGO_DRAFT (via ContextKV): {{VAR:TSV_CATALOGO_DRAFT_ENC}}
2) Validar conformidade com FLOW_TEMPLATE.csv e com as orientações do PIPELINER (IDs, Next PROMPT, Config extra, regras de 

 literal).
3) Corrigir apenas problemas mecânicos com evidência (colunas, separadores, STOP, Next, IDs, chaves proibidas). Se não houver evidência suficiente, marcar [POR CONFIRMAR] e NÃO inventar.
4) Produzir:
   - TSV_CATALOGO_FINAL_ENC (TSV codificado em 1 linha com 

 e \t literais)
   - TSV_CHANGELOG_ENC (lista de alterações)
   - TSV_VALIDACOES_ENC (>=8 testes PASS/FAIL)
5) Handoff por variáveis para o passo seguinte (sem depender de ficheiros de passos anteriores).

INPUTS (ANEXOS)
A) ORIENTACOES_PIPELINE*.pdf
B) FLOW_TEMPLATE*.csv
C) (via ContextKV) TSV_CATALOGO_DRAFT_ENC: {{VAR:TSV_CATALOGO_DRAFT_ENC}}

REGRAS NUCLEARES
- WEB: PROIBIDO.
- Template é fonte de verdade (cabeçalho, N colunas, bloco de 5 linhas).
- Sem TABs ou quebras de linha reais em valores: usar \t e 

 literais no TSV_*_ENC.
- Config extra: não pode conter chaves proibidas (model, temperature, max_output_tokens, store, tools).

OUTPUT PARA CONTEXTKV (OBRIGATÓRIO)
No fim do output, emite exactamente:
TSV_CATALOGO_FINAL_ENC: <...>
TSV_CHANGELOG_ENC: <...>
TSV_VALIDACOES_ENC: <...>
MEMORY_SHORT: <máx. 10 linhas, com CHANGES_COUNT e READY_FOR_CSV=SIM/NAO>

NOTA DE FALHA
Se {{VAR:TSV_CATALOGO_DRAFT_ENC}} estiver vazio/ausente, termina com:
TSV_CATALOGO_FINAL_ENC: [ERRO:CONTEXTKV_MISSING_TSV_CATALOGO_DRAFT_ENC]
e em MEMORY_SHORT indica como corrigir (captura do TSV_CATALOGO_DRAFT_ENC no passo anterior).

IDIOMA
Responde em Português de Portugal.
","gpt-5.2","None","True","instructions: Responde em Português de Portugal. Web=Não. Corrige apenas com evidência; caso contrário [POR CONFIRMAR].
truncation: auto
metadata: {prompt_family: WF_LAYOUT_QA, versao: v1.2, handoff_in: TSV_CATALOGO_DRAFT_ENC, handoff_out: TSV_CATALOGO_FINAL_ENC}","QA mecânico; corrige só com evidência. Produz FINAL + CHANGELOG + VALIDACOES (tudo codificado).","Impor 

 literal em células e evitar TABs reais; Config extra não pode ter chaves proibidas (model/temperature/max_output_tokens/store/tools).","v1.2 (2026-03-03): passa a consumir TSV_CATALOGO_DRAFT_ENC via ContextKV e a produzir TSV_CATALOGO_FINAL_ENC para o passo CSV."
"","Next PROMPT: PIPELINE_MAKER_ContextKV/04/WF_CATALOGO_FROM_LAYOUT_TXT/v1.4","Descricao textual:","QA do TSV do catálogo: corrigir mecânica e produzir TSV_CATALOGO_FINAL para conversão em CSV.","","","","","","",""
"","Next PROMPT default: PIPELINE_MAKER_ContextKV/04/WF_CATALOGO_FROM_LAYOUT_TXT/v1.4","INPUTS:","VARS: TSV_CATALOGO_DRAFT_ENC; FILES: FLOW_TEMPLATE*.csv (required) (latest); ORIENTACOES_PIPELINE*.pdf (required) (latest)","","","","","","",""
"","Next PROMPT allowed: STOP; PIPELINE_MAKER_ContextKV/04/WF_CATALOGO_FROM_LAYOUT_TXT/v1.4","OUTPUTS:","TEXTO: TSV_CATALOGO_FINAL_ENC; TSV_CHANGELOG_ENC; TSV_VALIDACOES_ENC; MEMORY_SHORT.","","","","","","",""
"","","","","","","","","","",""
"PIPELINE_MAKER_ContextKV/04/WF_CATALOGO_FROM_LAYOUT_TXT/v1.4","WF_CatalogoCSV","Converter TSV_CATALOGO_FINAL (via ContextKV) em CSV compatível com FLOW_TEMPLATE; exportar CSV+DOCX; emitir EXECUTE só se o CSV existir em /mnt/data.","Assume o papel de especialista em transformação de catálogos PIPELINER para FLOW_TEMPLATE.

CONTEXTO OPERACIONAL (OBRIGATÓRIO)
- Estás a correr com Code Interpreter activo.
- O carregamento no Excel é feito por um orquestrador externo que lê o teu texto final.
- EXECUTE Orders: apenas comandos na whitelist são aceites (atualmente, LOAD_CSV).
- O parser ignora ordens dentro de blocos de código.
- Para disparar a importação no Excel aberto, tens de emitir no fim UMA linha isolada, fora de blocos de código, no formato exacto:
  EXECUTE: LOAD_CSV([<basename.csv>])
- O filename tem de ser apenas basename.csv (sem paths) e não pode conter '..', ':', '/', '\\', '%', '~'.

OBJETIVO
Converter o TSV_CATALOGO_FINAL (contido na variável ContextKV TSV_CATALOGO_FINAL_ENC) num CSV compatível com FLOW_TEMPLATE.csv e com as regras PIPELINER, e exportar:
1) 1 CSV final (UTF-8 com BOM)
2) 1 DOCX de relatório humano

INPUTS (OBRIGATÓRIOS)
A) (via ContextKV) TSV_CATALOGO_FINAL_ENC: {{VAR:TSV_CATALOGO_FINAL_ENC}}
B) FLOW_TEMPLATE*.csv (pode vir como text_embed; é a fonte de verdade para cabeçalho/ordem/delimitador)
C) ORIENTACOES_PIPELINE*.pdf

REGRAS NÃO NEGOCIÁVEIS
1) Web: PROIBIDO.
2) Não inventar colunas nem regras: FLOW_TEMPLATE.csv é a única fonte de verdade para cabeçalho, ordem e delimitador.
3) Proibidas quebras de linha reais dentro de campos: substituir por sequência literal \n .
4) Todas as linhas do CSV (incl. linhas separadoras vazias) têm de ter exactamente N colunas.
5) Se algum input obrigatório faltar/for ilegível, NÃO exportes ficheiros e devolve FALHA_* + lacunas + Q1..Q3.

TAREFA — PASSOS DETERMINÍSTICOS (executar com Python no Code Interpreter)
1) Obter o TSV_CATALOGO_FINAL a partir de {{VAR:TSV_CATALOGO_FINAL_ENC}} (des-escapar quando aplicável) e validar que:
   - existe cabeçalho;
   - existe pelo menos 1 linha de dados;
   - não existem TABs dentro de valores.
2) Ler FLOW_TEMPLATE.csv e inferir:
   - delimitador do template;
   - cabeçalho exacto (nomes e ordem);
   - N = número de colunas.
3) Validar estrutura:
   - TSV (todas as linhas) tem exactamente N colunas;
   - cabeçalho TSV == cabeçalho do template (nomes e ordem).
   Se falhar: marcar EXPORT_OK_CSV=false e NÃO exportar ficheiros.
4) Converter TSV → CSV usando o delimitador do template:
   - Quoting obrigatório em qualquer célula com delimitador, aspas ou \n literal.
   - Aspas internas duplicadas.
   - Substituir newlines reais por \n  literal (não pode haver CR/LF reais dentro de campos).
   - Qualquer linha vazia separadora deve ter exactamente N colunas (N-1 delimitadores).
5) Gerar run_id no formato AAAAMMDDThhmmssZ-<6hex>.
6) Definir nomes determinísticos (sem espaços, sem acentos):
   FILE_CSV = catalogo_pipeliner__<run_id>.csv
   FILE_WORD = catalogo_pipeliner__<run_id>__RELATORIO.docx
7) Exportar para /mnt/data (BLOQUEANTE):
   - escrever o CSV em UTF-8 com BOM;
   - escrever o DOCX com secções: Resumo; Mapeamento; Lacunas/Assunções; Propostas; Checklist PASS/FAIL; Perguntas.
8) PROVA MÍNIMA (BLOQUEANTE):
   - listar /mnt/data no fim (nome + size_bytes) e identificar explicitamente se FILE_CSV e FILE_WORD existem.
9) GATING DO EXECUTE (BLOQUEANTE):
   - Só emitir ACTION=LOAD_CSV e a última linha EXECUTE se (a) CSV_EXISTE_EM_MNT_DATA=SIM e (b) EXPORT_OK_CSV=true.
   - Caso contrário: NÃO emitir EXECUTE.

SAÍDA FINAL (texto; curto e operacional)
- Manifesto final (linhas separadas):
  EXPORT_OK_CSV: true/false
  FILE_CSV: <basename.csv ou [n/a]>
  EXPORT_OK_WORD: true/false
  FILE_WORD: <basename.docx ou [n/a]>
  DELIMITER: <; ou outro>
  ENCODING: UTF-8-BOM
  COLS: <N>
  ROWS: <n_linhas_csv>
  CSV_EXISTE_EM_MNT_DATA: SIM/NAO
  WORD_EXISTE_EM_MNT_DATA: SIM/NAO
  MNT_DATA_LIST: <nome1>(bytes=...) ; <nome2>(bytes=...) ; ...
- Se CSV_EXISTE_EM_MNT_DATA=SIM e EXPORT_OK_CSV=true, então:
  ACTION=LOAD_CSV
  (última linha isolada, fora de blocos de código) EXECUTE: LOAD_CSV([<FILE_CSV>])

FALLBACK OBRIGATÓRIO (se não for possível anexar ficheiros)
- Se não conseguires criar/anexar ficheiros no CI, devolve no texto:
  FILE_NAME_CSV: <FILE_CSV>
  FICHEIRO_TXT_BEGIN
  <CSV completo>
  FICHEIRO_TXT_END
  FILE_NAME_WORD: <FILE_WORD>
  RELATORIO_WORD_PARA_COLAR_BEGIN
  <relatório completo em texto>
  RELATORIO_WORD_PARA_COLAR_END
- Se ativares este fallback, NÃO emitas EXECUTE.

IDIOMA
Responde em Português de Portugal.","gpt-5.2","Code Interpreter","True","instructions: Responde em Português de Portugal. Mantém a saída curta e operacional. Web=Não.
truncation: auto
metadata: {projeto: PIPELINE_MAKER, prompt: WF_CATALOGO_FROM_LAYOUT_TXT, versao: v1.4, handoff_in: TSV_CATALOGO_FINAL_ENC, rev: ci_proof_gate_v1}
output_kind: file
process_mode: code_interpreter
auto_save: Sim
overwrite_mode: suffix
structured_outputs_mode: off","Passo final: exporta CSV (UTF-8 BOM) e DOCX; só emite EXECUTE se o CSV existir em /mnt/data (prova mínima via listagem).","Evitar TABs/newlines reais em células; respeitar cabeçalho/colunas do FLOW_TEMPLATE; validar antes de emitir EXECUTE para evitar OUTPUT_EXECUTE_FILE_NOT_FOUND.","v1.4 (2026-03-03): consome TSV_CATALOGO_FINAL_ENC via ContextKV. Patch (2026-03-03): prova mínima de CI (listagem /mnt/data) + gating de EXECUTE + fallback determinístico."
"","Next PROMPT: STOP","Descricao textual:","Converter TSV_CATALOGO_FINAL→CSV, exportar CSV+DOCX, e acionar LOAD_CSV apenas se o CSV existir.","","","","","","",""
"","Next PROMPT default: STOP","INPUTS:","VARS: TSV_CATALOGO_FINAL_ENC; FILES: FLOW_TEMPLATE*.csv (required) (latest) (text); ORIENTACOES_PIPELINE*.pdf (required) (latest)","","","","","","",""
"","Next PROMPT allowed: STOP","OUTPUTS:","FILES: catalogo_pipeliner__<run_id>.csv; catalogo_pipeliner__<run_id>__RELATORIO.docx; TEXTO: manifesto + (opcional) ACTION=LOAD_CSV + EXECUTE (apenas se CSV existe).","","","","","","",""
"","","","","","","","","","",""
